family,condition_label,training_seed,paired_count,mean_b_fault_window_rmse,mean_c3_fault_window_rmse,mean_c3_minus_b_fault_window_rmse,sample_sd_c3_minus_b_fault_window_rmse,favorable_pair_count,mean_effect_favorable,c3_detection_probability,c3_mean_sub_fraction,c3_mean_frac_phys,c3_mean_frac_main,c3_mean_frac_aux,c3_mean_frac_fb,c3_mean_event_frac_phys,c3_mean_event_frac_main,c3_mean_event_frac_aux,c3_mean_event_frac_fb
dropout,dropout_2s,2026,5,20.80034559178789,1.0144385389073078,-19.78590705288058,1.02012979134298,5,True,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
dropout,dropout_2s,2027,5,19.548726355532278,1.0357690972924423,-18.51295725823984,0.4375113737683935,5,True,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
dropout,dropout_2s,2028,5,20.990707506002437,0.7646682768631292,-20.226039229139307,0.4337962437153805,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
load,load_0.06Nm,2026,5,0.25951360259685297,0.8354046892462407,0.5758910866493878,1.2861250515102318,0,False,,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7993355481727574,0.000664451827242525,0.2,0.0
load,load_0.06Nm,2027,5,0.4414592967740475,1.3127444025234865,0.8712851057494391,0.8739789597809079,0,False,,0.6692179700499168,0.33078202995008316,0.18535773710482528,0.48386023294509145,0.0,0.2,0.2,0.6,0.0
load,load_0.06Nm,2028,5,0.20104509041061974,0.20081456300514589,-0.00023052740547388484,0.003130006570658432,1,True,,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.9993355481727575,0.000664451827242525,0.0,0.0
load,load_0.15Nm,2026,5,0.9132185308259773,1.8392215352573384,0.9260030044313611,2.0728986611388716,1,False,,0.18835274542429284,0.8116472545757072,0.03960066555740433,0.14875207986688851,0.0,0.7926910299003322,0.007308970099667775,0.2,0.0
load,load_0.15Nm,2027,5,1.6438610857526288,2.8540081790668372,1.2101470933142084,0.21427795335882063,0,False,,0.7394342762063227,0.2605657237936772,0.12346089850249584,0.615973377703827,0.0,0.059800664451827246,0.07641196013289037,0.8637873754152825,0.0
load,load_0.15Nm,2028,5,0.8473857543240182,1.915384560085824,1.0679988057618057,1.4611654547756772,0,False,,0.1973377703826955,0.8026622296173045,0.050249584026622295,0.1470881863560732,0.0,0.6093023255813954,0.09700996677740864,0.293687707641196,0.0
load,load_0.1Nm,2026,5,0.5262780857272082,1.2773877745640838,0.7511096888368756,1.6733580716460688,0,False,,0.18535773710482528,0.8146422628951747,0.036605657237936774,0.14875207986688851,0.0,0.7986710963455149,0.00132890365448505,0.2,0.0
load,load_0.1Nm,2027,5,0.9924398181660508,1.8217716326344173,0.8293318144683667,0.5570335348570892,0,False,,0.6695507487520799,0.33044925124792013,0.11347753743760398,0.556073211314476,0.0,0.19933554817275748,0.05647840531561462,0.7441860465116279,0.0
load,load_0.1Nm,2028,5,0.4570846672107168,0.4574151561531936,0.0003304889424769031,0.0025384502809788724,1,False,,0.002329450915141431,0.9976705490848585,0.002329450915141431,0.0,0.0,0.9986710963455149,0.00132890365448505,0.0,0.0
load,load_0.2Nm,2026,5,1.4206347023644563,5.352256952674869,3.9316222503104137,1.486792515168386,0,False,,0.5477537437603994,0.45224625623960063,0.11114808652246255,0.43660565723793676,0.0,0.07508305647840531,0.15016611295681065,0.7747508305647841,0.0
load,load_0.2Nm,2027,5,2.230078292151318,3.859116952037149,1.6290386598858309,0.1691466565587854,0,False,,0.7540765391014974,0.2459234608985025,0.11647254575707153,0.637603993344426,0.0,0.030564784053156147,0.06245847176079734,0.9069767441860463,0.0
load,load_0.2Nm,2028,5,1.380518482083718,5.071379358810337,3.6908608767266196,0.17489165924635805,0,False,,0.4851913477537438,0.5148086522462563,0.10415973377703827,0.3810316139767055,0.0,0.0345514950166113,0.20465116279069767,0.760797342192691,0.0
