family,condition_label,training_seed,simulation_seed,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,favorable_c3_minus_b,b_overall_rmse,c3_overall_rmse,c3_sensor_fault_detected,c3_detection_latency_s,c3_reliability_entries,c3_post_event_reliability_entries,c3_sub_fraction,c3_frac_phys,c3_frac_main,c3_frac_aux,c3_frac_fb,c3_event_frac_phys,c3_event_frac_main,c3_event_frac_aux,c3_event_frac_fb,c3_recovery_events,c3_recovery_latency_s,c3_recovered_after_event
drift,drift_2.5pct,2026,59026,,,2.5,,0.9335407607121897,0.9335407607121897,0.0,False,10.838066189046227,10.838066189046227,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2026,59027,,,2.5,,0.8773541847108576,0.8773541847109815,1.2390088954816747e-13,False,10.830959307904843,10.83095930790485,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2026,59028,,,2.5,,0.9098729577737434,0.9098729577737434,0.0,False,10.835443623571726,10.835443623571726,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2026,59029,,,2.5,,0.9344570701030762,0.9350042789384415,0.0005472088353652982,False,10.834397274009925,10.83442877354248,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,0.9950124688279302,0.004987531172069825,0.0,0.0,0,,
drift,drift_2.5pct,2026,59030,,,2.5,,0.9305092120954964,3.097188467308177,2.1666792552126806,False,10.841719121305177,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_2.5pct,2027,59026,,,2.5,,0.8510953204619046,0.9956148555926004,0.14451953513069582,False,10.850614251621613,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_2.5pct,2027,59027,,,2.5,,0.8317445596576204,0.9832465111712283,0.1515019515136079,False,10.852998724240921,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_2.5pct,2027,59028,,,2.5,,0.8542591277366756,0.8542591277366756,0.0,False,10.857217314918353,10.857217314918353,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_2.5pct,2027,59029,,,2.5,,0.8577813181902032,0.3510782369452205,-0.5067030812449826,True,10.842482384769944,10.82361904786514,True,0.03000000000000025,2,2,0.3876871880199667,0.6123128119800333,0.3876871880199667,0.0,0.0,0.41895261845386533,0.5810473815461347,0.0,0.0,1,,
drift,drift_2.5pct,2027,59030,,,2.5,,0.8223729796458532,1.2334184724866781,0.4110454928408249,False,10.841127356857593,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,
