family,condition_label,training_seed,run_count,detection_probability,mean_detection_latency_s_when_detected,mean_substitution_fraction,mean_frac_phys,mean_frac_main,mean_frac_aux,mean_frac_fb,mean_event_frac_phys,mean_event_frac_main,mean_event_frac_aux,mean_event_frac_fb,total_recovery_events,recovery_probability_when_defined,mean_recovery_latency_s_when_defined,mean_post_event_reliability_active_duration_s_when_defined,mean_total_sub_duration_s,mean_source_switch_episode_duration_s
dropout,dropout_1s,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
dropout,dropout_2s,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
dropout,dropout_2s,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
dropout,dropout_2s,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
load,load_0.06Nm,2026,5,,,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7993355481727574,0.000664451827242525,0.2,0.0,0,,,0.0,1.112,3.1199999999999997
load,load_0.06Nm,2027,5,,,0.6692179700499168,0.33078202995008316,0.18535773710482528,0.48386023294509145,0.0,0.2,0.2,0.6,0.0,0,,,0.0,4.022,2.7399999999999998
load,load_0.06Nm,2028,5,,,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.9993355481727575,0.000664451827242525,0.0,0.0,0,,,0.0,0.012,3.1199999999999997
load,load_0.15Nm,2026,5,,0.08999999999999986,0.18835274542429284,0.8116472545757072,0.03960066555740433,0.14875207986688851,0.0,0.7926910299003322,0.007308970099667775,0.2,0.0,1,,,0.016000000000000014,1.1320000000000001,2.182857142857143
load,load_0.15Nm,2027,5,,0.9100000000000001,0.7394342762063227,0.2605657237936772,0.12346089850249584,0.615973377703827,0.0,0.059800664451827246,0.07641196013289037,0.8637873754152825,0.0,0,,,0.418,4.444000000000001,1.72
load,load_0.15Nm,2028,5,,0.09999999999999987,0.1973377703826955,0.8026622296173045,0.050249584026622295,0.1470881863560732,0.0,0.6093023255813954,0.09700996677740864,0.293687707641196,0.0,0,,,1.1600000000000001,1.186,1.8780952380952378
load,load_0.1Nm,2026,5,,,0.18535773710482528,0.8146422628951747,0.036605657237936774,0.14875207986688851,0.0,0.7986710963455149,0.00132890365448505,0.2,0.0,0,,,0.0,1.114,3.051428571428571
load,load_0.1Nm,2027,5,,,0.6695507487520799,0.33044925124792013,0.11347753743760398,0.556073211314476,0.0,0.19933554817275748,0.05647840531561462,0.7441860465116279,0.0,0,,,0.0,4.024,1.8799999999999997
load,load_0.1Nm,2028,5,,,0.002329450915141431,0.9976705490848585,0.002329450915141431,0.0,0.0,0.9986710963455149,0.00132890365448505,0.0,0.0,0,,,0.0,0.014000000000000002,3.051428571428571
load,load_0.2Nm,2026,5,,0.10750000000000004,0.5477537437603994,0.45224625623960063,0.11114808652246255,0.43660565723793676,0.0,0.07508305647840531,0.15016611295681065,0.7747508305647841,0.0,1,,,1.754,3.2920000000000003,1.0628571428571427
load,load_0.2Nm,2027,5,,0.45999999999999996,0.7540765391014974,0.2459234608985025,0.11647254575707153,0.637603993344426,0.0,0.030564784053156147,0.06245847176079734,0.9069767441860463,0.0,0,,,0.508,4.532,1.8799999999999997
load,load_0.2Nm,2028,5,,0.11000000000000006,0.4851913477537438,0.5148086522462563,0.10415973377703827,0.3810316139767055,0.0,0.0345514950166113,0.20465116279069767,0.760797342192691,0.0,0,,,2.8899999999999997,2.9160000000000004,1.0247619047619048
