matrix,family,condition_id,current_case,training_seed,simulation_seed,controller,step,time_s,event,raw_main_residual,aux_residual,cusum_score
primary,bias,bias_pct_2.5,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,bias,bias_pct_2.5,,2028,59026,C3_arbitration_MPC,202,2.02,entry,1.7565018035955902,2.688226913602449,4.364921092844701
primary,bias,bias_pct_2.5,,2028,59027,C3_arbitration_MPC,202,2.02,entry,1.5594345297094847,3.1783132254963604,4.645383944311559
primary,bias,bias_pct_2.5,,2028,59028,C3_arbitration_MPC,202,2.02,entry,1.7412495178525518,2.414894964719707,4.6411071773451695
primary,bias,bias_pct_2.5,,2028,59029,C3_arbitration_MPC,202,2.02,entry,1.1369640329333706,2.9986100723322906,3.466967019395303
primary,bias,bias_pct_2.5,,2028,59030,C3_arbitration_MPC,202,2.02,entry,1.6966795783957096,2.907324801815527,4.906838136069476
primary,bias,bias_pct_5,,2026,59026,C3_arbitration_MPC,202,2.02,entry,3.320738352836429,4.734592145989872,9.09745727199729
primary,bias,bias_pct_5,,2026,59027,C3_arbitration_MPC,202,2.02,entry,3.1288123549116094,5.1419119884916995,9.336842852105736
primary,bias,bias_pct_5,,2026,59028,C3_arbitration_MPC,202,2.02,entry,3.3062220049906585,4.419121177721443,9.292024950411616
primary,bias,bias_pct_5,,2026,59029,C3_arbitration_MPC,202,2.02,entry,2.8286738687536612,5.146674947346419,8.01921438955066
primary,bias,bias_pct_5,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,bias,bias_pct_5,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,bias,bias_pct_5,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,bias,bias_pct_5,,2027,59028,C3_arbitration_MPC,202,2.02,entry,3.050728808571982,3.3554019405140707,8.502279133942846
primary,bias,bias_pct_5,,2027,59029,C3_arbitration_MPC,202,2.02,entry,2.7478810392269395,3.205082619989966,7.672467142148296
primary,bias,bias_pct_5,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,bias,bias_pct_5,,2028,59026,C3_arbitration_MPC,202,2.02,entry,3.38736117859559,4.319086288602449,9.257499217844702
primary,bias,bias_pct_5,,2028,59027,C3_arbitration_MPC,202,2.02,entry,3.1902939047094847,4.80917260049636,9.53796206931156
primary,bias,bias_pct_5,,2028,59028,C3_arbitration_MPC,202,2.02,entry,3.3721088928525518,4.045754339719707,9.53368530234517
primary,bias,bias_pct_5,,2028,59029,C3_arbitration_MPC,202,2.02,entry,2.9450504281970424,4.629469447332291,8.536772164658975
primary,bias,bias_pct_5,,2028,59030,C3_arbitration_MPC,202,2.02,entry,3.3275389533957096,4.538184176815527,9.799416261069476
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2026,59026,C3_arbitration_MPC,302,3.02,entry,9.456213799755666,9.296387559812594,28.31252522894816
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2026,59027,C3_arbitration_MPC,302,3.02,entry,9.855546860390135,9.545013910897353,29.66387642562268
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2026,59028,C3_arbitration_MPC,302,3.02,entry,9.309125420743385,8.722180131075625,28.524886425884812
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2026,59029,C3_arbitration_MPC,302,3.02,entry,9.852646097861594,9.243620344459245,29.42348391743212
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2027,59028,C3_arbitration_MPC,302,3.02,entry,9.347764293925025,8.388352655204343,28.512677126527958
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2027,59029,C3_arbitration_MPC,203,2.0300000000000002,entry,0.00214458393900685,-0.04657289133007936,1.4349936043260705
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2028,59026,C3_arbitration_MPC,302,3.02,entry,9.4871136611725,8.905720457242595,28.43086495154455
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2028,59027,C3_arbitration_MPC,302,3.02,entry,9.785582425240044,8.64965797776155,29.478677487517324
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2028,59028,C3_arbitration_MPC,302,3.02,entry,9.269963575658409,8.699338532841509,28.44881287364543
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2028,59029,C3_arbitration_MPC,302,3.02,entry,9.819527610334355,9.103816722082179,29.332651127399387
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.1,,2028,59030,C3_arbitration_MPC,302,3.02,entry,9.952276090039888,9.289866243024314,29.979175187997466
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2026,59026,C3_arbitration_MPC,302,3.02,entry,9.35642657724842,9.19674872646744,28.162789621457584
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2026,59027,C3_arbitration_MPC,302,3.02,entry,9.755759637882889,9.445388640002498,29.514140818132102
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2026,59028,C3_arbitration_MPC,302,3.02,entry,9.20933819823614,8.622540499939277,28.375150818394236
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2026,59029,C3_arbitration_MPC,302,3.02,entry,9.752858875354349,9.1439791177405,29.273748309941542
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2027,59028,C3_arbitration_MPC,302,3.02,entry,9.247977071417779,8.288781634110677,28.36294151903738
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2027,59029,C3_arbitration_MPC,203,2.0300000000000002,entry,0.00214458393900685,-0.04657289133007936,1.4349936043260705
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2028,59026,C3_arbitration_MPC,302,3.02,entry,9.38732643866524,8.806111142171602,28.28112934405395
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2028,59027,C3_arbitration_MPC,302,3.02,entry,9.685795202732791,8.550050258272954,29.328941880026733
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2028,59028,C3_arbitration_MPC,302,3.02,entry,9.170176353151163,8.59973081335292,28.299077266154853
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2028,59029,C3_arbitration_MPC,302,3.02,entry,9.719740387827102,9.004208204802389,29.182915519908796
primary,combined_bias_load,combined_bias_pct_15_load_Nm_0.15,,2028,59030,C3_arbitration_MPC,302,3.02,entry,9.852488867532635,9.190260916909303,29.829439580506875
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2026,59026,C3_arbitration_MPC,302,3.02,entry,2.932776299755666,2.772950059812594,8.742212728948164
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2026,59027,C3_arbitration_MPC,302,3.02,entry,3.3321093603901346,3.021576410897353,10.09356392562268
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2026,59028,C3_arbitration_MPC,302,3.02,entry,2.785687920743385,2.198742631075625,8.954573925884814
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2026,59029,C3_arbitration_MPC,302,3.02,entry,3.3292085978615944,2.720182844459245,9.85317141743212
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2027,59028,C3_arbitration_MPC,302,3.02,entry,2.8243267939250245,1.8649151552043435,8.942364626527958
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2027,59029,C3_arbitration_MPC,203,2.0300000000000002,entry,0.00214458393900685,-0.04657289133007936,1.4349936043260705
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2028,59026,C3_arbitration_MPC,302,3.02,entry,2.9636761611725007,2.3822829572425945,8.860552451544551
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2028,59027,C3_arbitration_MPC,302,3.02,entry,3.262144925240044,2.1262204777615494,9.908364987517329
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2028,59028,C3_arbitration_MPC,302,3.02,entry,2.7465260756584087,2.1759010328415087,8.878500373645435
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2028,59029,C3_arbitration_MPC,302,3.02,entry,3.2960901103343545,2.580379222082179,9.762338627399393
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.1,,2028,59030,C3_arbitration_MPC,302,3.02,entry,3.428838590039888,2.7664287430243135,10.408862687997468
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.15,,2026,59026,C3_arbitration_MPC,302,3.02,entry,2.8329890772484205,2.6733112264674403,8.592477121457588
primary,combined_bias_load,combined_bias_pct_5_load_Nm_0.15,,2026,59027,C3_arbitration_MPC,302,3.02,entry,3.232322137882889,2.9219511400024984,9.943828318132104
