controller,scenario,repetitions,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,tail_oscillation,sensor_substitution_rate,medium_mode_fraction,high_mode_fraction,safety_events,RMSE_std,MAE_std,IAE_std,ISE_std,max_abs_error_std,overshoot_percent_std,settling_time_s_std,recovery_time_s_std,fault_interval_RMSE_std,fault_interval_IAE_std,fault_interval_ISE_std,fault_interval_peak_error_std,control_effort_sum_u2_std,control_variation_sum_du2_std,constraint_violations_std,voltage_violations_std,rate_violations_std,nonfinite_events_std,optimizer_failures_std,average_solve_ms_std,p95_solve_ms_std,max_solve_ms_std,tail_oscillation_std,sensor_substitution_rate_std,medium_mode_fraction_std,high_mode_fraction_std,safety_events_std
A_PI,step_reference,5,7.20250527622778,4.64235938445762,27.79847258073597,309.7749780494703,20.062866971588775,10.159701639346384,0.8560000000000001,0.8560000000000001,7.20250527622778,27.79847258073597,309.7749780494703,20.062866971588775,6157.745958331606,27.888940256334898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8649095969240506,0.0,0.0,0.0,0.0,0.011687178291432907,0.017680788104817702,0.10627833944335122,1.0116318758574971,0.0,0.22920142535704577,0.00894427190999915,0.00894427190999915,0.011687178291432907,0.10627833944335122,1.0116318758574971,0.0,5.122220352698662,0.5095817129728367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03735184170266188,0.0,0.0,0.0,0.0
B_plain_MPC,bias_15,5,11.86293485229072,7.395916839585686,44.273807714957925,839.6641547616839,35.06286697159158,8.438398486601901,1.558,0.6380000000000001,7.682114952070643,13.701104930350965,117.69590268702518,10.37327951681282,6677.531792571186,230.44496654516328,0.0,0.0,0.0,0.0,0.0,62.458717355250634,120.71641999937128,160.66829999908805,1.480255432696771,0.0,0.0,0.0,0.0,0.0371120926055317,0.08290307747409667,0.4981664924378208,5.291884312674429,4.843683108707224e-12,0.9554706509663812,0.03420526275297417,0.20849460424672878,0.19297608977632671,0.5983402924820059,5.914721386760459,0.3629722734421767,179.71081616979143,19.187122068208577,0.0,0.0,0.0,0.0,0.0,15.123676136834243,30.47455467294617,53.25787321259821,0.5777236505422308,0.0,0.0,0.0,0.0
B_plain_MPC,bias_5,5,10.946277991773842,5.48069938315525,32.76280401688028,713.9993214198855,35.0628669715898,8.18551824832583,1.54,0.2039999999999999,2.8147634607562955,5.16399633257807,15.80219847285855,4.134520214947782,6550.104917203583,220.14518380482113,0.0,0.0,0.0,0.0,0.0,76.01255107450218,135.43655999819748,185.01752000156557,0.5629816445507757,0.0,0.0,0.0,0.0,0.009223361658437816,0.03629090731619144,0.2178947385040887,1.2136217880990197,1.1271568550844135e-12,2.1166474450342116,0.08000000000000007,0.020736441353327646,0.049264228243465415,0.09783637431175513,0.5566362991402779,0.2525130827648366,93.9877837379923,13.079320144664852,0.0,0.0,0.0,0.0,0.0,18.667346106512706,30.230642866589662,66.84420427224431,0.22857877504732876,0.0,0.0,0.0,0.0
B_plain_MPC,changing_reference,5,7.2117225382416,4.258956613553825,25.495649227999913,310.5805867662963,20.109645655078655,36.257458896932306,0.7440000000000001,0.7440000000000001,7.2117225382416,25.495649227999913,310.5805867662963,20.109645655078655,6661.145104881219,220.18225933539807,0.0,0.0,0.0,0.0,0.0,63.47777157039853,124.98188000172377,162.8104400006123,1.7398252449494387,0.0,0.0,0.0,0.0,0.037992975870862186,0.054237589049642494,0.32600272491331544,3.2974445945241304,0.1046003161808491,1.3170884989696698,0.03507135583350019,0.03507135583350019,0.037992975870862186,0.32600272491331544,3.2974445945241304,0.1046003161808491,39.35463326168836,10.213942734940447,0.0,0.0,0.0,0.0,0.0,16.231877460122337,29.5739399658804,37.54729007887487,0.3199623425245363,0.0,0.0,0.0,0.0
B_plain_MPC,combined_fault_load,5,11.222412496103813,6.473454500084079,38.7115223857951,750.7270208023747,35.062866971592086,7.96678255972598,1.538,,4.266019501082042,12.230836265263314,54.81662791501103,7.315532599523104,8001.466778644934,179.9168981463585,0.0,0.0,0.0,0.0,0.0,81.87667471059638,141.98022000055062,165.97900000051595,0.3174381847310258,0.0,0.0,0.0,0.0,0.043491823074340644,0.1085420328725808,0.6523308873472613,5.8633028125351,4.107198233332915e-12,1.0675904061071102,0.04549725266430927,,0.2134333955998191,0.4957287665865128,5.466271216659037,0.6930328291692842,96.77305170338012,10.639840796648448,0.0,0.0,0.0,0.0,0.0,14.881980145705894,25.18110563090062,22.238380266922963,0.13612949497758803,0.0,0.0,0.0,0.0
B_plain_MPC,load_disturbance,5,10.82481887812315,4.8353713086495045,28.881749773642714,698.1042571844955,35.062866971588775,7.9564441191237405,1.542,0.054000000000000006,0.8706499851620407,2.4895826350454153,2.2803428387760194,1.6973349509091846,8380.230897121453,151.29398693681023,0.0,0.0,0.0,0.0,0.0,81.45619636361366,139.1721799984225,172.7796799998032,0.41557711638083816,0.0,0.0,0.0,0.0,0.006791877426894755,0.06130033405431044,0.36856775448590495,0.8842096321070443,0.0,1.1025488439080902,0.03834057902536168,0.12074767078498866,0.026533585198334736,0.08008247154609278,0.14079525774627893,0.0981686083071181,105.72733166650194,17.193928617758328,0.0,0.0,0.0,0.0,0.0,19.79560684812826,28.522858866002796,29.57430944841591,0.10765126714290447,0.0,0.0,0.0,0.0
B_plain_MPC,nominal_tracking,5,10.807872738083542,4.492349269825121,26.82343021493574,695.9037419641784,35.06286697159267,7.972037199288698,1.538,1.538,10.807872738083542,26.82343021493574,695.9037419641784,35.06286697159267,6215.01063242454,140.85222140436503,0.0,0.0,0.0,0.0,0.0,75.48958661157613,130.62796000158414,149.13455999776488,0.49649720699349303,0.0,0.0,0.0,0.0,0.0037972111184105877,0.04600630329126117,0.27657646186716117,0.4932377924025224,2.4266724897257443e-12,0.8173798794883309,0.029495762407505288,0.029495762407505288,0.0037972111184105877,0.27657646186716117,0.4932377924025224,2.4266724897257443e-12,75.02343491496815,13.300426947158218,0.0,0.0,0.0,0.0,0.0,13.808418439551877,25.12485036248378,22.207659688890182,0.24603281678600836,0.0,0.0,0.0,0.0
B_plain_MPC,parameter_variation,5,10.821341678986684,4.791328572122908,28.617310728724256,697.6521073863425,35.062866971591625,8.546591159309372,1.56,0.0,0.6617471935236541,1.9529738052779568,1.317915764456493,0.8826866236457874,7853.021852939804,142.89256526363334,0.0,0.0,0.0,0.0,0.0,91.47733619820504,157.4570999990101,198.39952000038465,0.3317559007061647,0.0,0.0,0.0,0.0,0.0039730022786239865,0.04711256098012058,0.2829923356357804,0.5165849697555144,3.2555847708149008e-12,0.3451752069780893,0.012247448713915868,0.0,0.03222416672226415,0.09591082304611924,0.13041160567350257,0.01836170585685809,72.4278864603963,11.157363484419012,0.0,0.0,0.0,0.0,0.0,21.46244258811855,35.69538060554588,49.467351469127614,0.10032486801629077,0.0,0.0,0.0,0.0
B_plain_MPC,sensor_drift,5,11.575887343328935,7.337171735627817,43.87686379879073,798.8254600728176,35.062866971590225,8.689207249348943,1.564,0.0,5.065853833450343,17.494891886473447,102.51272801538956,8.907666466489484,5322.313658548488,147.75168527004757,0.0,0.0,0.0,0.0,0.0,81.09770033052499,142.1689199996763,195.0559200005955,2.389273223445106,0.0,0.0,0.0,0.0,0.006951408909751941,0.04658273035144627,0.27992586016486,0.9711512148330372,3.1311926205313858e-12,1.5488923054223305,0.052249401910452645,0.0,0.025052810567565992,0.141646077842534,1.0289003666648853,0.12045838766990123,98.01531894576418,13.834381566737328,0.0,0.0,0.0,0.0,0.0,17.249805492167653,33.222469947879105,52.86011793607666,0.25769661292473306,0.0,0.0,0.0,0.0
B_plain_MPC,sensor_dropout,5,27.55367595246048,23.345035836978933,139.92078164106897,4548.110109482041,41.57674783488362,118.79070809966747,1.574,,20.952198554555384,36.24206794283461,872.6599244882498,32.9832291856652,15041.147527750494,78.01979966699336,0.0,0.0,0.0,0.0,0.0,33.67920595036977,75.08600000001024,130.9350000010454,2.584548232939517,0.0,0.0,0.0,0.0,0.10777085671441712,0.13646981566610614,0.8200062548582203,35.67513040556568,0.03553938704136726,0.10154110583247575,0.02792848008753795,,0.26352999793880644,0.5996687265746384,22.014709420685623,0.18733237718788387,62.668516602763674,4.238913193962269,0.0,0.0,0.0,0.0,0.0,7.222050847826271,27.95938498838124,23.96435420464071,0.04600843031074997,0.0,0.0,0.0,0.0
