controller,scenario,seed,sub_samples,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,corrupted_rmse,corrupted_mae
C1_sensor_MPC,load_disturbance,12027,1,0.20875979903573239,0.20875979903573239,0.3624946475316335,0.3624946475316335,0.7918148664244171,0.7918148664244171
C2_aux_recovery_MPC,load_disturbance,12027,1,0.20875979903573239,0.20875979903573239,0.3624946475316335,0.3624946475316335,0.7918148664244171,0.7918148664244171
C1_sensor_MPC,load_disturbance,12028,293,10.683040878023823,9.525060553519136,0.8634281295630816,0.6364310567821727,0.254590551457697,0.20455490660254774
C2_aux_recovery_MPC,load_disturbance,12028,293,10.683040878023823,9.525060553519136,0.8634281295630816,0.6364310567821727,0.254590551457697,0.20455490660254774
C1_sensor_MPC,load_disturbance,12029,2,0.19048012447950802,0.18717945348485188,0.7030917956297177,0.5769421448357903,0.831447037344655,0.8303574936319436
C2_aux_recovery_MPC,load_disturbance,12029,2,0.19048012447950802,0.18717945348485188,0.7030917956297177,0.5769421448357903,0.831447037344655,0.8303574936319436
C1_sensor_MPC,parameter_variation,12026,1,0.29359396707243945,0.29359396707243945,12.66584465499129,12.66584465499129,0.7044236905809456,0.7044236905809456
C2_aux_recovery_MPC,parameter_variation,12026,1,0.29359396707243945,0.29359396707243945,12.66584465499129,12.66584465499129,0.7044236905809456,0.7044236905809456
C1_sensor_MPC,parameter_variation,12027,1,0.20875979903573239,0.20875979903573239,0.3624946475316335,0.3624946475316335,0.7918148664244171,0.7918148664244171
C2_aux_recovery_MPC,parameter_variation,12027,1,0.20875979903573239,0.20875979903573239,0.3624946475316335,0.3624946475316335,0.7918148664244171,0.7918148664244171
C1_sensor_MPC,parameter_variation,12029,2,0.1864758486280676,0.18203585794303834,8.44871688158684,6.061054231704322,0.831447037344655,0.8303574936319436
C2_aux_recovery_MPC,parameter_variation,12029,2,0.1864758486280676,0.18203585794303834,8.44871688158684,6.061054231704322,0.831447037344655,0.8303574936319436
C1_sensor_MPC,combined_fault_load,12026,301,11.383953859562824,10.366571187293195,0.634183053004635,0.5200280699556852,3.257984285003048,3.2477799855246996
C2_aux_recovery_MPC,combined_fault_load,12026,301,11.383953859562824,10.366571187293195,0.634183053004635,0.5200280699556852,3.257984285003048,3.2477799855246996
C1_sensor_MPC,combined_fault_load,12027,302,11.801557784421348,10.904262676188653,0.6681016673139841,0.5366418337014985,3.2810812767257893,3.2695810159857834
C2_aux_recovery_MPC,combined_fault_load,12027,302,11.801557784421348,10.904262676188653,0.6681016673139841,0.5366418337014985,3.2810812767257893,3.2695810159857834
C1_sensor_MPC,combined_fault_load,12028,301,11.727312076616599,10.819704461191893,0.6287332140710616,0.5183479623336862,3.2477193466812646,3.2378216006458973
C2_aux_recovery_MPC,combined_fault_load,12028,301,11.727312076616599,10.819704461191893,0.6287332140710616,0.5183479623336862,3.2477193466812646,3.2378216006458973
C1_sensor_MPC,combined_fault_load,12029,302,11.61293181279217,10.65168774172046,0.6489303663627011,0.5298101115758711,3.2522926216244077,3.2400170248602698
C2_aux_recovery_MPC,combined_fault_load,12029,302,11.61293181279217,10.65168774172046,0.6489303663627011,0.5298101115758711,3.2522926216244077,3.2400170248602698
C1_sensor_MPC,combined_fault_load,12030,301,11.889897100218956,11.029918520615748,0.6993685800562426,0.541972272979267,3.2815004336333025,3.273156709841461
C2_aux_recovery_MPC,combined_fault_load,12030,301,11.889897100218956,11.029918520615748,0.6993685800562426,0.541972272979267,3.2815004336333025,3.273156709841461
C1_sensor_MPC,sensor_bias_5,19026,401,0.35600194274747765,0.3510573705935613,0.24281486273907943,0.18585912975505753,2.319011356014035,1.7312304459538488
C2_aux_recovery_MPC,sensor_bias_5,19026,401,0.35600194274747765,0.3510573705935613,0.24281486273907943,0.18585912975505753,2.319011356014035,1.7312304459538488
C1_sensor_MPC,sensor_bias_5,19027,401,0.2626660256544832,0.2392307741019733,0.33563167883687456,0.23840558035618153,2.3179571866147883,1.7339999613085322
C2_aux_recovery_MPC,sensor_bias_5,19027,401,0.2626660256544832,0.2392307741019733,0.33563167883687456,0.23840558035618153,2.3179571866147883,1.7339999613085322
C1_sensor_MPC,sensor_bias_5,19028,401,0.3471331455598059,0.33869397380194355,0.4553563298052101,0.2788509059171409,2.3322948650356934,1.7415302403838122
C2_aux_recovery_MPC,sensor_bias_5,19028,401,0.3471331455598059,0.33869397380194355,0.4553563298052101,0.2788509059171409,2.3322948650356934,1.7415302403838122
