main_virtual_rmse,main_virtual_mae,corrupted_rmse,corrupted_mae,sub_count,scenario,run_id,version,aux_rmse,aux_mae
10.283896738143433,9.023320903024267,0.2509358487099453,0.19890964817819765,1103,parameter_variation,22,V2,11.998903820256066,9.34464685029922
0.14035030195842269,0.11570758244277357,0.8630923401689089,0.8555285135904948,3,parameter_variation,25,V1,,
0.14035030195842269,0.11570758244277357,0.8630923401689089,0.8555285135904948,3,parameter_variation,25,V2,13.370748920987904,13.302618746806855
10.28724794434777,9.155131906227817,3.0469966611819586,2.866766092956008,1027,combined_fault_load,8,V1,,
10.28724794434777,9.155131906227817,3.0469966611819586,2.866766092956008,1027,combined_fault_load,8,V2,5.018127605278901,4.248583200915603
16.00322790378666,15.450173290250346,3.2875989540718678,3.277311897701217,901,combined_fault_load,15,V1,,
16.00322790378666,15.450173290250346,3.2875989540718678,3.277311897701217,901,combined_fault_load,15,V2,1.859416950118442,1.597117789105449
19.603607549485893,18.937658070874736,3.2722985252132046,3.2628368130005425,901,combined_fault_load,17,V1,,
19.603607549485893,18.937658070874736,3.2722985252132046,3.2628368130005425,901,combined_fault_load,17,V2,4.405536495782463,4.090693745991309
14.862572776800842,13.740227438369741,2.945207764916255,2.6884971345628754,1103,combined_fault_load,22,V1,,
14.862572776800842,13.740227438369741,2.945207764916255,2.6884971345628754,1103,combined_fault_load,22,V2,4.702993730986188,4.212522861993305
15.821442753045469,15.224319510965518,3.262064076471388,3.252432957605834,901,combined_fault_load,25,V1,,
15.821442753045469,15.224319510965518,3.262064076471388,3.252432957605834,901,combined_fault_load,25,V2,1.8392796568483334,1.5436335832257537
16.93627449492567,16.058491843836013,3.2703195467711583,3.26102772881003,901,combined_fault_load,28,V1,,
16.93627449492567,16.058491843836013,3.2703195467711583,3.26102772881003,901,combined_fault_load,28,V2,4.308507701714569,3.9795548817125597
