controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,mean_solve_ms,mean_arb_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples
C1_sensor_MPC,sensor_bias_15,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,180.72059504131235,0.0,23.524394100000336,0.2566560131127232,0.22183117667674002,,,0.2566560131127232,0.22183117667674002,6.904127970387414,4.967546913602234,401
C2_aux_recovery_MPC,sensor_bias_15,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,171.9344520661027,0.0,23.140441100000317,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,0.2566560131127232,0.22183117667674002,6.904127970387414,4.967546913602234,401
C3_arbitration_MPC,sensor_bias_15,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,173.21840578512843,0.02113080894663287,23.412375999999767,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,0.2566560131127232,0.22183117667674002,6.904127970387414,4.967546913602234,401
C1_sensor_MPC,sensor_bias_15,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,164.86341983475668,0.0,21.558376899999985,0.2686730170014824,0.2382698262588038,,,0.2686730170014824,0.2382698262588038,6.924997212845613,4.97827689197978,401
C2_aux_recovery_MPC,sensor_bias_15,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,161.72936942151384,0.0,21.888577999999598,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,0.2686730170014824,0.2382698262588038,6.924997212845613,4.97827689197978,401
C3_arbitration_MPC,sensor_bias_15,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,167.98957107438065,0.0221220309816273,22.807592699999987,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,0.2686730170014824,0.2382698262588038,6.924997212845613,4.97827689197978,401
C1_sensor_MPC,sensor_dropout,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,176.3393363636387,0.0,22.904020099999798,0.246186590237674,0.22435983557546554,,,0.246186590237674,0.22435983557546554,24.80415738112703,17.615831778828134,401
C2_aux_recovery_MPC,sensor_dropout,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,175.47496280990683,0.0,23.482399299999997,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,24.80415738112703,17.615831778828134,401
C3_arbitration_MPC,sensor_dropout,12026,10.812634269210388,4.566067608855427,0.25198240846311604,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6108.609983006075,81.14199647831964,0,0,0,179.0444933883708,0.02252495697511615,24.073221499999818,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,0.246186590237674,0.22435983557546554,24.80415738112703,17.615831778828134,401
C1_sensor_MPC,sensor_dropout,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,166.48131404958087,0.0,21.6550957999998,0.24266157344879957,0.21038944510755012,,,0.24266157344879957,0.21038944510755012,24.72405131897285,17.552986763654438,401
C2_aux_recovery_MPC,sensor_dropout,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,171.42317520658386,0.0,23.107849299999998,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,0.24266157344879957,0.21038944510755012,24.72405131897285,17.552986763654438,401
