controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,substitution_fraction,recovery_events,false_recovery_events,sensor_recovery_latency_s,medium_mode_fraction,high_mode_fraction,safety_events
B_plain_MPC,sensor_dropout,12029,27.53300093165372,23.326520519496423,139.80954020145086,4541.212334960106,41.56962414452673,118.77035469864778,1.6,,20.899590867437166,36.12451118772276,868.1585638639745,32.94571104841012,15024.885006068638,76.4431294894784,0,0,0,0,0,39.17410000035451,92.80700000090292,140.42630000039935,1.2479338842975207,1.2975206611570247,2.5937694141792065,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,sensor_dropout,12029,10.826240956272056,4.809071932901975,28.725764722919013,698.291416564799,35.062866971588775,9.725012573481889,1.6,0.0,0.7071252593585,1.3008571301156524,0.9986891571171432,1.36463071679281,6169.274074063909,106.44506324438767,0,0,0,0,0,50.45199669401588,105.85569999966538,141.319399997883,1.5289256198347108,1.8099173553719008,0.17273716950090545,0.6672212978369384,0.6672212978369384,0,0,,0.0,0.0,0
D_adaptive,sensor_dropout,12029,10.853712241067631,4.883350040468027,29.17224022703603,701.8708735661189,35.062866971588775,11.944642850658258,2.18,0.0,0.9653161355720722,1.2692662176380916,1.817557985866424,3.0312379797330387,6379.939499324538,112.513635569075,0,0,0,0,0,52.54986363638449,116.61789999925531,145.0916000030702,1.537190082644628,1.834710743801653,0.15077164538620735,0.6672212978369384,0.6672212978369384,0,0,,0.08319467554076539,0.008319467554076539,0
A_PI,sensor_drift,12029,11.890436340915429,8.222796070132896,49.19801911319096,843.1607540476803,35.062866971588775,18.929940162294596,2.32,0.31999999999999984,5.347276379921037,19.57642768137373,114.09885400140465,9.197053661547095,5043.353221968947,25.37594381951676,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.9810519916565994,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,sensor_drift,12029,11.564253108556043,7.273311266902723,43.49257655637009,797.1985842964821,35.062866971588775,7.171610893253545,1.51,0.0,5.0504300676809795,17.37033860605523,101.8769250378414,9.004831543054635,5224.322334229738,134.69097040518804,0,0,0,0,0,83.18405537163716,130.55729999905452,156.1123999999836,2.396694214876033,2.9669421487603307,2.5689991068859293,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,sensor_drift,12029,11.564253108556043,7.273311266902723,43.49257655637009,797.1985842964821,35.062866971588775,7.171610893253545,1.51,0.0,5.0504300676809795,17.37033860605523,101.8769250378414,9.004831543054635,5224.322334229738,134.69097040518804,0,0,0,0,0,86.41720495819574,139.21280000067782,159.2841999954544,2.396694214876033,2.9669421487603307,2.5689991068859293,0.0,0.0,0,0,,0.0,0.0,0
D_adaptive,sensor_drift,12029,11.57785590027415,7.35566946023466,43.987549284883954,799.0905157604298,35.062866971588775,9.946672067742261,1.61,0.0,5.0517208226091475,17.377871233064248,101.92774375397842,9.004834225270933,5305.185246640958,134.94767757868442,0,0,0,0,0,80.75277520660435,128.58180000330321,155.55879999737954,2.3140495867768593,2.884297520661157,2.5682161511745747,0.0,0.0,0,0,,0.028286189683860232,0.0066555740432612314,0
A_PI,parameter_variation,12029,11.209617798501338,6.206422643761964,37.12271398874602,749.0630765278066,35.062866971588775,19.388587633684864,2.34,1.21,2.1102260110288062,5.14578599113437,13.361693492261246,3.6639752886346315,7833.107194618417,26.716082284307642,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4397374861603396,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,parameter_variation,12029,10.823302477033614,4.823697931338262,28.81172563040095,697.9069613943651,35.0628669715891,8.83476388950346,1.57,0.0,0.6646619724520395,1.9717255711414237,1.326745386522246,0.8601370790897249,7921.069538432974,151.79789727906422,0,0,0,0,0,84.0515933881205,136.15050000225892,152.475199996843,2.2479338842975207,2.834710743801653,0.39695032569456146,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,parameter_variation,12029,11.376321688168312,6.569896108027349,39.26804190837355,771.3400114658796,35.0628669715891,8.83476388950346,1.57,0.0,4.995460544471946,12.428041849114019,74.75979545803665,8.406740174165428,6601.808993643326,134.16796319965658,0,0,0,0,0,66.3142719005753,140.95909999741707,176.49340000207303,1.7851239669421488,2.165289256198347,2.3020471600471133,0.40931780366056575,0.40931780366056575,0,0,,0.0,0.0,0
D_adaptive,parameter_variation,12029,11.429996617715016,6.772238409734185,40.484156179271125,778.6976403681568,35.0628669715891,15.801675246485384,1.78,0.0,4.98234095389322,12.399346884127803,74.36660756650791,8.399332646264497,6651.146811881933,113.67528169493025,0,0,0,0,0,58.87652231455628,123.49720000202069,152.2534000032465,1.677685950413223,2.0991735537190084,2.270962692209359,0.40931780366056575,0.40931780366056575,0,0,,0.013311148086522463,0.033277870216306155,0
A_PI,combined_fault_load,12029,11.582549650955045,7.382860320739637,44.17806884773399,800.0850557430333,35.062866971588775,19.122577201274954,2.32,1.79,4.67683634469089,12.327025908751555,65.73398714614493,7.903773336427985,7551.272776569146,27.589722742019877,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.2266855336441935,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,combined_fault_load,12029,11.25876117728216,6.544111224428724,39.135912187914116,755.6271171516141,35.062866971588875,8.73641107189692,1.57,,4.446585616987499,12.635654193213533,59.44039101586979,7.909834150366581,8011.550332454747,176.50193408425991,0,0,0,0,0,73.57761322313578,124.52199999825098,143.1601000003866,2.2644628099173554,2.7107438016528924,0.36825497998355416,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,combined_fault_load,12029,13.614505549076128,9.839026132326564,58.87785417671789,1106.5869247096184,35.062866971588875,8.73641107189692,1.57,,11.694770595611063,32.3790446173805,410.4004512797452,15.938575712955103,6107.323433284125,88.84273888200676,0,0,0,0,0,49.4045099172085,113.58650000329362,148.17480000056094,1.603305785123967,1.884297520661157,1.880373951068922,0.502495840266223,0.502495840266223,0,0,,0.0,0.0,0
D_adaptive,combined_fault_load,12029,13.643716846453708,10.050030549831849,60.14590203518962,1111.3695466511026,35.062866971588875,13.566461850595033,2.05,,11.686178787371507,32.33507529923253,409.7928818467468,15.956313859958968,6338.1278583489,106.93595968613599,0,0,0,0,0,45.872776033027264,104.36540000227978,136.03019999573007,1.5289256198347108,1.7768595041322315,1.903387703665576,0.502495840266223,0.502495840266223,0,0,,0.11813643926788686,0.009983361064891847,0
A_PI,nominal_tracking,12030,11.143994640651822,5.770657888181423,34.50520591661157,740.2481661349731,35.062866971588775,19.287001007514622,2.33,2.33,11.143994640651822,34.50520591661157,740.2481661349731,35.062866971588775,5988.089529953796,25.991812708461097,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5750317495106927,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,nominal_tracking,12030,10.801420284761049,4.4212333172215,26.395975606633023,695.0657067504472,35.062866971597686,6.6550103042421584,1.49,1.49,10.801420284761049,26.395975606633023,695.0657067504472,35.062866971597686,6094.433199265534,118.60994823704559,0,0,0,0,0,77.1980578514453,125.5282000056468,137.48580000537913,2.3388429752066116,2.8181818181818183,0.2948990805186327,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,nominal_tracking,12030,10.801420284761049,4.4212333172215,26.395975606633023,695.0657067504472,35.062866971597686,6.6550103042421584,1.49,1.49,10.801420284761049,26.395975606633023,695.0657067504472,35.062866971597686,6094.433199265534,118.60994823704559,0,0,0,0,0,75.52434049591457,121.37399999483023,138.18080000055488,2.3388429752066116,2.8181818181818183,0.2948990805186327,0.0,0.0,0,0,,0.0,0.0,0
D_adaptive,nominal_tracking,12030,10.826989993465723,4.682196437581116,27.96435961248828,698.3894288644289,35.062866971597686,9.998174567222852,1.6300000000000001,1.6300000000000001,10.826989993465723,27.96435961248828,698.3894288644289,35.062866971597686,6534.893554904076,167.20462602516238,0,0,0,0,0,78.7474330576485,131.6612999944482,150.08510000188835,2.1322314049586777,2.669421487603306,0.27749089576648345,0.0,0.0,0,0,,0.07154742096505824,0.0033277870216306157,0
A_PI,step_reference,12030,7.209127917707095,4.659694856972489,27.903348903332,310.34846557268185,20.062866971588775,10.474035564184714,0.8500000000000001,0.8500000000000001,7.209127917707095,27.903348903332,310.34846557268185,20.062866971588775,6154.32249441636,27.177427558249224,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.84502421581373,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,step_reference,12030,7.055785719508866,3.7506278312623436,22.4407543529991,297.2024599848308,20.062866971588775,4.512061774361875,0.71,0.71,7.055785719508866,22.4407543529991,297.2024599848308,20.062866971588775,7175.189039813964,149.4423824330448,0,0,0,0,0,74.44775454580451,131.6374000016367,147.59959999355488,2.0826446280991737,2.512396694214876,0.38495161874912043,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,step_reference,12030,7.055813266438535,3.752018006971158,22.44909746228245,297.2047937724551,20.062866971588775,4.512061774361875,0.71,0.71,7.055813266438535,22.44909746228245,297.2047937724551,20.062866971588775,7177.725423971629,151.18405992590962,0,0,0,0,0,72.07047933888668,123.28039999556495,135.50630000099773,2.090909090909091,2.520661157024793,0.3874015486473823,0.0016638935108153079,0.0016638935108153079,0,0,,0.0,0.0,0
D_adaptive,step_reference,12030,7.055813266438535,3.752018006971158,22.44909746228245,297.2047937724551,20.062866971588775,4.512061774361875,0.71,0.71,7.055813266438535,22.44909746228245,297.2047937724551,20.062866971588775,7177.725423971629,151.18405992590962,0,0,0,0,0,73.29177520656862,129.21940000524046,143.11610000004293,2.090909090909091,2.520661157024793,0.3874015486473823,0.0016638935108153079,0.0016638935108153079,0,0,,0.03826955074875208,0.0,0
A_PI,changing_reference,12030,9.755336126726444,7.768860487106102,46.58985058474737,569.9509631246568,20.062866971588775,52.412743752619306,,,9.755336126726444,46.58985058474737,569.9509631246568,20.062866971588775,5730.378410493612,43.62541006279983,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.659178653760311,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,changing_reference,12030,7.264512007020361,4.337713798541387,25.96913919072858,315.16648531414126,20.29676038910303,34.555832187345366,0.7800000000000002,0.7800000000000002,7.264512007020361,25.96913919072858,315.16648531414126,20.29676038910303,6720.107936232202,234.89831110887414,0,0,0,0,0,66.57165123941328,134.00249999540392,149.79650000168476,2.0,2.231404958677686,2.1432819103224077,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,changing_reference,12030,7.264512007020361,4.337713798541387,25.96913919072858,315.16648531414126,20.29676038910303,34.555832187345366,0.7800000000000002,0.7800000000000002,7.264512007020361,25.96913919072858,315.16648531414126,20.29676038910303,6720.107936232202,234.89831110887414,0,0,0,0,0,65.25627438026848,130.4939000037848,156.8325000043842,2.0,2.231404958677686,2.1432819103224077,0.0,0.0,0,0,,0.0,0.0,0
D_adaptive,changing_reference,12030,7.264512007020361,4.337713798541387,25.96913919072858,315.16648531414126,20.29676038910303,34.555832187345366,0.7800000000000002,0.7800000000000002,7.264512007020361,25.96913919072858,315.16648531414126,20.29676038910303,6720.107936232202,234.89831110887414,0,0,0,0,0,65.54416942141742,134.70220000453992,160.68790000281297,2.0,2.231404958677686,2.1432819103224077,0.0,0.0,0,0,,0.028286189683860232,0.008319467554076539,0
A_PI,load_disturbance,12030,11.278308806204913,6.434553295048361,38.493082040661236,758.3459317098547,35.062866971588775,18.94013770278838,2.32,1.0700000000000003,2.8824231818918826,6.7009966337520135,24.96513163381257,5.680063468040181,8168.360072671756,27.60067525524689,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.528634930967229,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,load_disturbance,12030,10.835787724483376,4.928857251727333,29.44374772036666,699.5322017110607,35.062866971588775,9.666496039237312,1.6,0.27,0.9139087181876033,2.6019178397104445,2.5111446903817463,1.8631213824571873,8514.087745091882,172.23903707633423,0,0,0,0,0,80.95805702471485,136.46239999798127,171.63109999819426,2.272727272727273,2.768595041322314,0.546411385461262,0.0,0.0,0,0,,0.0,0.0,0
