controller,scenario,seed,sub_samples,main_virtual_rmse,aux_virtual_rmse,selected_virtual_rmse,corrupted_rmse,main_virtual_mae,aux_virtual_mae,selected_virtual_mae,corrupted_mae
C3_arbitration_MPC,combined_fault_load,12029,302,2.067070790562739,1.7335906457435828,1.962504420838926,3.2522926216244077,1.7948156716594243,1.5255817592972805,1.7022315885511758,3.2400170248602698
C1_sensor_MPC,combined_fault_load,12030,301,11.889897100218956,,11.889897100218956,3.2815004336333025,11.029918520615748,,11.029918520615748,3.273156709841461
C2_aux_recovery_MPC,combined_fault_load,12030,301,11.889897100218956,0.6993685800562426,11.889897100218956,3.2815004336333025,11.029918520615748,0.541972272979267,11.029918520615748,3.273156709841461
C3_arbitration_MPC,combined_fault_load,12030,301,2.1541733300901926,1.82060733724786,2.0410814615915482,3.2815004336333025,1.8802952955308878,1.622840776625505,1.779790957040165,3.273156709841461
C1_sensor_MPC,sensor_noise,19026,401,0.35600194274747765,,0.35600194274747765,1.4365357405174577,0.3510573705935613,,0.3510573705935613,0.9237756046803101
C2_aux_recovery_MPC,sensor_noise,19026,401,0.35600194274747765,0.24281486273907943,0.35600194274747765,1.4365357405174577,0.3510573705935613,0.18585912975505753,0.3510573705935613,0.9237756046803101
C3_arbitration_MPC,sensor_noise,19026,401,0.35600194274747765,0.24281486273907943,0.35600194274747765,1.4365357405174577,0.3510573705935613,0.18585912975505753,0.3510573705935613,0.9237756046803101
C1_sensor_MPC,sensor_noise,19027,401,0.2626660256544832,,0.2626660256544832,1.3629043655004494,0.2392307741019733,,0.2392307741019733,0.8793381675721675
C2_aux_recovery_MPC,sensor_noise,19027,401,0.2626660256544832,0.33563167883687456,0.2626660256544832,1.3629043655004494,0.2392307741019733,0.23840558035618153,0.2392307741019733,0.8793381675721675
C3_arbitration_MPC,sensor_noise,19027,401,0.2626660256544832,0.33563167883687456,0.2626660256544832,1.3629043655004494,0.2392307741019733,0.23840558035618153,0.2392307741019733,0.8793381675721675
C1_sensor_MPC,sensor_noise,19028,400,0.6113560684359184,,0.6113560684359184,1.3798818576834035,0.5898290341299197,,0.5898290341299197,0.8917460031230235
C2_aux_recovery_MPC,sensor_noise,19028,400,0.6113560684359184,0.5266215312001363,0.6113560684359184,1.3798818576834035,0.5898290341299197,0.324615611097858,0.5898290341299197,0.8917460031230235
C3_arbitration_MPC,sensor_noise,19028,400,0.6113560684359184,0.5266215312001363,0.6113560684359184,1.3798818576834035,0.5898290341299197,0.324615611097858,0.5898290341299197,0.8917460031230235
C1_sensor_MPC,sensor_noise,19029,400,0.37567798685336856,,0.37567798685336856,1.3364110205106186,0.313846152417355,,0.313846152417355,0.8548890074906462
C2_aux_recovery_MPC,sensor_noise,19029,400,0.37567798685336856,0.4166862562969008,0.37567798685336856,1.3364110205106186,0.313846152417355,0.28974197262920265,0.313846152417355,0.8548890074906462
C3_arbitration_MPC,sensor_noise,19029,400,0.37567798685336856,0.4166862562969008,0.37567798685336856,1.3364110205106186,0.313846152417355,0.28974197262920265,0.313846152417355,0.8548890074906462
C1_sensor_MPC,sensor_noise,19030,398,0.8683594489375632,,0.8683594489375632,1.4321908836554542,0.8055256952056948,,0.8055256952056948,0.881743301238144
C2_aux_recovery_MPC,sensor_noise,19030,398,0.8683594489375632,0.5225233503338611,0.8683594489375632,1.4321908836554542,0.8055256952056948,0.3213630317764385,0.8055256952056948,0.881743301238144
C3_arbitration_MPC,sensor_noise,19030,398,0.8683594489375632,0.5225233503338611,0.8683594489375632,1.4321908836554542,0.8055256952056948,0.3213630317764385,0.8055256952056948,0.881743301238144
C1_sensor_MPC,sensor_bias_5,19026,401,0.35600194274747765,,0.35600194274747765,2.319011356014035,0.3510573705935613,,0.3510573705935613,1.7312304459538488
C2_aux_recovery_MPC,sensor_bias_5,19026,401,0.35600194274747765,0.24281486273907943,0.35600194274747765,2.319011356014035,0.3510573705935613,0.18585912975505753,0.3510573705935613,1.7312304459538488
C3_arbitration_MPC,sensor_bias_5,19026,401,0.35600194274747765,0.24281486273907943,0.35600194274747765,2.319011356014035,0.3510573705935613,0.18585912975505753,0.3510573705935613,1.7312304459538488
C1_sensor_MPC,sensor_bias_5,19027,401,0.2626660256544832,,0.2626660256544832,2.3179571866147883,0.2392307741019733,,0.2392307741019733,1.7339999613085322
