controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,medium_mode_fraction,high_mode_fraction,safety_events
A_PI,sensor_noise,12028,11.098880609317906,5.551426704310109,33.18881096281313,734.2177422975352,35.062866971588775,19.427192820729452,2.38,0.0,2.041677051244581,3.1366540763937825,8.189762896288933,5.396747573750716,6049.3789279822495,71.85507920432912,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25317569396566597,0.0,0.0,0.0,0
B_plain_MPC,sensor_noise,12028,10.856270828262105,4.989598602669331,29.811913336211035,702.2052179861654,35.062866971591056,8.473169620543562,1.56,0.03000000000000025,1.6725404561926442,2.769178615617146,5.57144673802565,3.2141170625742,6739.614949915347,246.6162804810157,0,0,0,0,0,61.757004132382725,109.32280000270111,137.81169999856502,2.206611570247934,2.512396694214876,0.4694713736905811,0.0,0.0,0.0,0
C_sensor_MPC,sensor_noise,12028,10.811964338211153,4.584773729753772,27.37884211078179,696.4353388508999,35.062866971591056,8.473169620543562,1.56,0.0,0.41994949075068266,0.7846402654846458,0.3520029312999278,0.6833597308548462,6148.727537543758,110.71668857179253,0,0,0,0,0,59.71020082620834,112.86989999643993,149.24389999941923,1.9090909090909092,2.355371900826446,0.34661684797706016,0.33777038269550747,0.0,0.0,0
D_adaptive,sensor_noise,12028,10.822635248694336,4.62774989077089,27.63713380780918,697.8228139959612,35.062866971591056,10.482809967786418,1.6300000000000001,0.0,0.40524834990050707,0.7543810568134833,0.32736175908696963,0.6189208599168339,6137.148871775755,98.52679429242754,0,0,0,0,0,55.829750412985135,121.14219999784837,139.45819999935338,1.8264462809917354,2.2644628099173554,0.3458394182005762,0.33777038269550747,0.028286189683860232,0.0,0
A_PI,bias_5,12028,11.412535260308907,6.782572318391425,40.58611974309616,776.6523101912267,35.062866971588775,18.94435544433908,4.18,0.17999999999999972,4.950134108912047,9.061675728632943,48.83518204272254,7.081206407762259,5866.913622493142,30.19509317079341,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9670337561427687,0.0,0.0,0.0,0
B_plain_MPC,bias_5,12028,10.952568355699071,5.505816212197498,32.91387028691726,714.8268735440209,35.062866971588775,10.357478127893732,1.62,0.20000000000000018,2.775938397577922,5.064492517141322,15.35903780568212,4.145287812735376,6634.629693437267,225.3315817531862,0,0,0,0,0,64.30868016510686,120.00059999991208,140.78889999655075,2.206611570247934,2.5950413223140494,0.48440356469959056,0.0,0.0,0.0,0
C_sensor_MPC,bias_5,12028,10.82419841063517,4.643726731749339,27.73302710432981,698.026141358575,35.062866971588775,10.357478127893692,1.62,0.0,0.5278437274660605,0.8859127686779089,0.5559847084970279,1.056478046554112,6353.000081212801,142.959570695978,0,0,0,0,0,61.71035867791492,115.51170000166167,151.95330000278773,2.041322314049587,2.5041322314049586,0.17976252011944638,0.3410981697171381,0.0,0.0,0
D_adaptive,bias_5,12028,10.846705821865866,4.707098019280373,28.113892077270126,700.9575557249462,35.062866971588775,13.354821741197204,1.72,0.0,0.40169843624167506,0.6898374298106054,0.3148656881510189,1.1899397242580818,6295.041306746161,116.00038042177275,0,0,0,0,0,59.26237107464545,106.67370000010123,154.65030000632396,2.024793388429752,2.4628099173553717,0.20029783883239105,0.3410981697171381,0.05823627287853577,0.0,0
A_PI,bias_15,12028,12.884305219160453,9.281541749650927,55.606282728919055,991.5668564165032,35.062866971588775,19.045900656962665,5.69,1.6900000000000004,10.791311321058476,19.386445738527534,232.30489799224617,14.837349830942,5900.923728845597,39.05403098031617,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.160898007701974,0.0,0.0,0.0,0
B_plain_MPC,bias_15,12028,11.829646375285723,7.303560452301323,43.718515659602524,834.9174497022211,35.062866971588775,8.53178337674726,1.56,0.5200000000000005,7.472186842680049,13.152197958757437,111.2694587230391,9.7877333130626,6572.316255788875,211.38012060702036,0,0,0,0,0,57.95047768592028,111.74709999613697,132.25970000348752,2.024793388429752,2.4214876033057853,0.7635172865748387,0.0,0.0,0.0,0
